CompID	MetaboliteName	MZ	Time	isotopes	adduct	pcgroup	name	fold	tstat	pvalue	mzmed	mzmin	mzmax	rtmed	rtmin	rtmax	npeaks	bio	blank	200916s037	200916s019	200916s030	200916s042	200916s022	200916s018	200916s046	200916s016	200916s055	200916s029	200916s031	200916s025	200916s032	200916s023	200916s044	200916s035	200916s028	200916s020	200916s021	200916s040	200916s049	200916s047	200916s045	200916s033	200916s041	200916s054	200916s036	200916s034	200916s056	200916s048	200916s052	200916s017	200916s043	200916s057	200916s024	200916s053	200916s038	200916s039	200916s050	200916s051	200916s058	200916s059	200916s026	200916s027
1	Lactic acid																			37437020.57	192964056.3	281927552	20872409.19	14996775.49	18809166.14	15193604.36	10295108.87	18858636.89	50513517.03	52110101.46	71818776.49	49806114.57	20531338.46	28685866.06	20499232.3	22719950.81	17289431.18	33706908.06	36996001.67	47644765.59	27115200.49	23997684.67	12321166.72	14082204.28	14804263.01	47262575.14	42169624.13	62029149.81	134909204.6	13424851.49	20827557.9	18999286.47	16815248.71	16473370.08	13422507.41	39744834.14	40290016.36	42027893.81	39898805.45	39625883.14	38502656.39	43706153.51	42813719.42
2	Saccharic acid																			957963.7766	0	1218345.765	38264.49042	0	64445.84177	0	125307.8261	23474.10714	1631713.059	1501723.338	1748872.875	736985.4613	0	747059.236	0	182639.7734	0	0	873926.0072	909288.1827	67899.52873	0	241956.1159	0	80566.45488	0	1678221.242	1961647.724	1579783.404	1225976.193	0	225019.6792	0	127492.0601	0	159222.8961	307844.6948	187603.0307	207315.9824	138968.8006	431844.1619	86059.35695	368632.5831
3	Pipecolic acid																			34473373.69	179597656.5	196385176.1	2.03E+09	2.22E+09	614933584.4	715570448.3	783912959.7	870232051.2	172677138.4	172909343.3	174898124.5	443410435.2	492869036	489045308.1	219411875.3	1003037732	1079059745	189553269	174823871.3	192566587.8	1216572867	1326029656	705469937.1	735975057.8	597663077.6	195710513.3	165908901	179214171.6	187451435.6	496637090.2	518318749.9	527459881.1	58328057.07	786370256.4	72085796.06	559485754.9	585882160.5	577698809.6	606871162.4	586054111.9	598174209.4	592430156	569783528.6
4	Nicotinic acid																			65275700.61	281214466.8	292405324	704626129.7	17880285.1	687909912.9	14974806.53	23506810.52	13395798.17	284781043.5	264141354.9	284458817.4	615285629.5	13119233.09	640155699.4	18785125.05	564837994.1	4486383.495	295811502.6	320192982.8	321896072	822715870.2	19645864.36	669744739.7	26784476.92	239035013.1	23242473.55	327503401.4	303379474	321656519.1	569132797.5	13595148.35	440830549.4	3762121.047	560906164.8	3653574.618	316277343.2	336866016.3	315524572.3	296813793.8	325040359.6	340347888.3	321405435.8	320083517.1
5	Succinic acid																			9804916.841	53906881.05	54550279.4	10669103.66	16283763.15	9514599.501	25244183.43	7453456.767	14857152.98	46491860.86	42611455.25	37127469.96	33304954.66	23215871.51	11518582	21937963.91	9133223.317	14429956.11	40920057.15	39668644.94	45056807.56	20073201.03	27683087.67	14783535.2	33408332.11	14174311.74	26390194.47	57288360.82	67872460.71	52961372.42	14212882.24	17952718.86	14851957.37	15098899.85	9105725.289	13367006.63	33181825.04	32940935.64	34597321.04	33751502.59	31742639.95	33735660.79	31825510.66	29758510.09
6	Citric acid																			0	335438.5818	847223.8073	1111713.774	934223.6843	527779.6602	460796.7503	485508.406	842573.8351	290419.2442	471006.4507	255746.9104	1471427.563	914693.6745	1364409.587	1184691.246	1097523.847	592966.3529	809427.9533	494083.9631	330779.2557	1225331.123	1019287.2	909744.2889	579937.4523	805218.0195	852342.7011	1059001.991	780278.8358	843054.4942	1078903.183	674980.9404	1666320.48	1055461.861	1499291.893	741893.4664	856187.624	1160461.513	1277623.85	877274.6102	1593822.445	708862.7846	940193.0818	708959.7428
7	 3-hydroxybutyric acid																			220951.3085	1027396.52	434894.7336	6836769.804	1356475.988	751894.234	945294.5926	888446.4998	736330.9118	1155484.389	910329.4164	999397.6479	3355213.161	290984.3424	138957.2278	529081.2463	4355358.375	668276.2411	483969.3186	1121820.113	209479.3905	4158896.282	799933.8459	4787703.133	1071633.12	1244695.385	573273.0106	913194.5883	1190631.62	674748.5093	1443268.105	714169.8657	332791.0476	935625.0289	4203003.767	561704.6851	1211924.206	1718201.535	1420647.816	1750630.863	1254697.169	1408440.815	1245800.075	1825630.88
8	Methylsuccinic acid																			39547.21407	146197.0773	120323.4179	3363930.235	2934956.623	3952765.851	3781671.457	1747473.128	3049726.007	183853.3759	334117.1399	63850.93047	262111.5591	1216483.116	299629.1018	1607347.525	929939.1539	1971992.076	176699.0848	42786.2118	144530.9971	3115444.77	3767733.52	2931976.454	3568975.825	2537336.725	2956803.743	59664.16814	144546.7179	271017.0185	343764.7779	1837999.326	708342.0093	2159279.628	1191987.004	1580862.909	1232200.293	1678242.012	1658379.148	1769995.743	1539208.006	1374468.857	1215557.831	1532660.815
9	Glutaric acid																			0	77324.0791	187602.4662	1585619.514	1703582.395	866444.9207	998649.9252	705342.4684	1139449.709	148856.5027	0	0	174210.2337	325560.3127	801682.4201	540568.6014	1348169.131	884363.328	75756.80706	178018.0271	96357.52129	1541725.335	1729030.115	1215687.199	1673279.688	886609.5964	1322095.805	42223.28099	43428.08503	43057.04566	631770.5599	692462.0961	889743.9195	1507153.195	807858.8187	1407136.306	533103.3257	709051.4089	689076.8031	743999.8754	335112.3703	760266.8328	531948.5602	635764.2724
10	Pyrrole-2-carboxylic acid																			0	61567.74037	142065.7895	708727.9948	101680.2027	144857.1311	909448.7659	456723.644	334699.9414	0	0	0	55162.70856	973533.7828	58199.20321	452738.8505	261806.9564	1257234.717	152509.5986	0	0	898759.4571	353930.6729	209462.3896	489921.629	570542.5093	152101.7504	0	0	0	324102.8469	871058.3027	577528.2071	944182.2124	348971.3476	1041667.806	339983.2063	373604.8264	261902.9335	404505.058	516590.9955	651015.1383	357488.3864	185677.7705
